Job Title,Unique Postings from Jan 2019 - Jan 2020
Full Stack C# Developers,6
Website Developers,6
Ethical Hackers,6
Cloud Solution Architects,6
Deployment Engineers,6
React JavaScript Developers,6
Mobile Developers,6
Lead Data Scientists,6
Cloud Engineers,6
Quality Assurance Testers,6
Computer Technicians,6
IT Help Desk Support Technicians,6
IT Technical Support Analysts,6
Team Managers,6
Apprentice Software Developers,6
Sharepoint Developers,6
Lead Software Engineers,6
JavaScript Engineers,6
Team Leads,6
Peer Support Apprentices,6
IT Systems Engineers,6
IT Infrastructure Technicians,6
Service Managers,6
VB.NET Developers,6
SQL Database Analysts,6
Full Stack Web Developers,6
Desktop Support Analysts,6
Service Desk Engineers,6
Ruby on Rails Developers,5
Business Systems Analysts,5
ASP.NET Web Developers,5
Database Analysts,5
Community Services Managers,5
Operations Specialists 1st Class,5
Support Technicians,5
Back End Developers,5
Desktop Engineers,5
Cybersecurity Consultants,5
UI/UX Designers,5
Infrastructure Support Managers,5
Automation Engineers,5
Software Development Managers,5
Big Data Architects,5
Clinical Data Scientists,5
Java Software Developers,5
Salesforce Developers,5
Campaign Analysts,5
Implementation Analysts,5
IT Application Support Analysts,5
2nd/3rd Grade Teachers,5
Computer Network Technicians,5
Community Services Leaders,5
Information Security Analysts,5
Business Intelligence Consultants,5
Angular Developers,5
Business Systems Project Managers,5
Information Security Officers,5
Financial Software Engineers,5
Document Coordinators,5
Software Quality Assurance Consultants,5
IT Security Analysts,5
Application Support Engineers,5
Full Stack Software Developers,5
Software Technicians,5
Lecturers in Computer Science,5
Mission Systems Engineers,5
Solutions Analysts,5
Image Processing Engineers,5
Technical Support Officers,4
Implementation Engineers,4
Service Apprentices,4
Cloud Architects,4
Break/Fix Technicians,4
IT Systems Analysts,4
Netsuite Administrators,4
Directors of Software Engineering,4
Azure DevOps Engineers,4
Web Administrators,4
Business Analysts,4
Software Delivery Managers,4
Scrum Masters/Project Managers,4
Advanced Practitioners,4
Lead PHP Developers,4
Customer Experience Technicians,4
React.js Developers,4
IT Desktop Support Analysts,4
IT Principal Consultants,4
Insights Analysts,4
Electronics Technicians 2nd Class,4
Back End Software Engineers,4
IT Support Managers,4
Installation Engineers,4
Field Support Engineers,4
Client Support Specialists,4
Technical Analysts,4
Data Science Managers,4
.NET Developers Consultant,4
Stack .NET Developers,4
Business Intelligence Engineers,4
Embedded Linux Software Engineers,4
Customer Support Engineers,4
Deep Learning Engineers,4
Application Specialists,4
Software Application Development Engineers,4
Data Input Specialists,4
Machine Learning Scientists,4
Modeling Engineers,4
Software Application Developers,4
Test Managers,4
Engineering Managers,4
Web Analytics Managers,4
Analytics Consultants,4
Automation and Controls Engineers,4
Statistical Programmers,4
Solutions Engineers,4
IT Web Developers,4
Business Intelligence Managers,4
Pre-Sales Architects,4
Software Test Engineers,4
SQL Developers,4
IT Administrators,4
Technical Support Advisors,4
Dynamics 365 Developers,4
Test Engineers,4
Infrastructure Analysts,4
Digital Designers,4
Software Test Analysts,4
Lead Java Developers,4
Quality Assurance Engineers,4
Operations Managers,4
Data Mining Engineers,4
Oracle Database Administrators,4
Cybersecurity Analysts,4
.NET MVC Developers,4
Shift Managers,4
IT Service Desk Managers,4
Customer Analytics Managers,4
ASP.NET Developers,4
Appointment Specialists,4
Training Support Managers,4
Line Engineers,4
Full Stack JavaScript Developers,4
ICT Technicians,4
First Line Supervisors,4
Technical Support Assistants,4
Front End Engineers,4
Shopify Developers,4
Software Developers in Test,3
Service Desk Team Leaders,3
Embedded Systems Interns,3
Node.js Developers,3
Dynamics AX Technical Architects,3
Clinical Data Managers,3
Computer Scientists,3
Software Support Analysts,3
Content Editors,3
Track Inspectors,3
Service Coordinators,3
Scala Developers,3
Technical Leads,3
Learning and Development Managers,3
Infrastructure Team Leads,3
Recruitment Managers,3
Security Architects,3
Network Coordinators,3
Staff Software Engineers,3
Information Services Developers,3
Systems Support Engineers,3
Machine Learning Data Scientists,3
Lead Machine Learning Engineers,3
Network Infrastructure Analysts,3
Network Software Engineers,3
Integration Architects,3
BIM Managers,3
UI Engineers,3
Software Systems Engineers,3
Analytics Engineers,3
Business Systems Administrators,3
Data Warehouse Developers,3
Graduate Analysts,3
Platform Software Engineers,3
Front End Software Engineers,3
Automation Testers,3
Lead UX Designers,3
Game Night Staff,3
IT Field Service Engineers,3
Premier Account Managers,3
Systems Integration Engineers,3
Middleware Engineers,3
Desktop Support Managers,3
Digital Analysts,3
Content Designers,3
Software Security Architects,3
PHP Wordpress Developers,3
.NET Full Stack Developers,3
Quality Assurance Analysts,3
Business Development Managers,3
Center Administrators,3
IT Solutions Analysts,3
C# ASP.NET Developers,3
Product Managers,3
Website Administrators,3
Requirements Managers,3
Infrastructure Support Technicians,3
Systems Development Engineers,3
CNC Programmers,3
Deputy Managers,3
ASP.NET MVC Developers,3
Data Managers,3
MES Developers,3
Assurance Managers,3
Back End PHP Developers,3
Python Developers,3
Software Technical Support Specialists,3
Cybersecurity Architects,3
Infrastructure Systems Administrators,3
Systems Engineering Managers,3
Game Testers,3
Software Application Testers,3
Server Specialists,3
Web Application Developers,3
Systems Security Engineers,3
Data Intelligence Analysts,3
Windows Administrators,3
Information Security Managers,3
Agile Scrum Masters,3
Software Developers/Architects,3
NT Systems Administrators,3
Direct Support Workers,3
Home Administrators,2
Quantitative Developers,2
IT Team Leads,2
Operations Engineers,2
Software Test Automation Engineers,2
Java Engineers,2
Technical Support Analysts,2
Kubernetes Engineers,2
Cloud Infrastructure Engineers,2
IT Support Administrators,2
Business Support Managers,2
Service Team Leaders,2
Business Support Administrators,2
1st/2nd Grade Teachers,2
Sales Consultants,2
Data Science Engineers,2
Deployment Managers,2
Avionics Systems Engineers,2
SSRS Developers,2
Pre-Sales Solution Architects,2
Service Desk Support Technicians,2
Robotics Engineers,2
Client Implementation Project Managers,2
Data Software Engineers,2
Mystery Shoppers,2
Salesforce Administrators,2
Information Systems Managers,2
PLM Consultants,2
Principal Dancers,2
Technical Development Managers,2
Machine Learning Software Engineers,2
PHP Software Developers,2
PLC Programmers,2
Windows Engineers,2
E-Commerce Administrators,2
Front End Developers/Designers,2
Service Technicians,2
Office 365 Administrators,2
Land Administrators,2
IT Operations Managers,2
Digital Managers,2
HTML5 Developers,2
Network Design Engineers,2
Bioinformatics Scientists,2
Software Account Managers,2
Software Support Consultants,2
Front End React Developers,2
CI/CD Engineers,2
Systems Project Managers,2
Full Stack Java Developers,2
Analytics Managers,2
Principals,2
Information Systems Analysts,2
Service Support Engineers,2
Technical Apprentices,2
SAS Programmers,2
Data Protection Specialists,2
Accounting Software Consultants,2
Systems Implementation Managers,2
Project Support Assistants,2
Azure Cloud Engineers,2
Infrastructure Administrators,2
Azure Developers,2
Information Assurance Consultants,2
Software Project Managers,2
Firmware Engineers,2
API Testers,2
Development Team Leads,2
Data Technicians,2
IT Software Developers,2
Support Managers,2
Web Development Managers,2
Oracle PL/SQL Developers,2
MySQL Developers,2
Systems Architects,2
QlikView Developers,2
Website Designers,2
Microsoft Access Developers,2
Project Coordinators,2
Maintenance Trainees,2
General Administrators,2
Technical Business Analysts,2
Digital Project Managers,2
Dynamics AX Technical Consultants,2
Technical Consultants,2
Data Science Consultants,2
Windows VMware Engineers,2
Program Managers,2
Analysts,2
Support Services Administrators,2
Big Data Engineers,2
Contract Developers,2
Client Technical Support Representatives,2
Bioinformaticians,2
Directors/Consultants,2
Technology Analysts,2
Full Stack Engineers,2
DevSecOps Engineers,2
Programmers,2
Infrastructure Specialists,2
Office 365 Engineers,2
IT Security Managers,2
Network Support Engineers,2
Linux DevOps Engineers,2
Systems Consultant Principals,2
Lead Software Developers,2
IT Support Assistants,2
Technical Project Managers,2
Dynamics AX Developers,2
UI Developers,2
Robotics Software Engineers,2
Cloud DevOps Engineers,2
Java Web Developers,2
IT Desktop Support Technicians,2
IT Support Officers,2
Back End Engineers,2
Social Media Content Creators,2
Technical Authors,2
IT Support Team Leads,2
Library Administrators,2
Software Support Technicians,2
IT Support Consultants,2
Duty Managers,2
Delivery Managers,2
Application Architects,2
Security Consultants,2
Enterprise Architects,2
Principal Quality Engineers,2
Core Developers,2
Syteline Programmer Analysts,2
C++ Software Developers,2
Team Coordinators,2
Lead Front End Developers,2
Directors of Data Engineering,2
Chief Content Officers,2
C/C++ Developers,2
Field Engineers,2
Network Security Specialists,2
Solution Architects/Principal Consultants,2
Office Administrators,2
Information Security Specialists,1
Spanish Lecturers,1
Heads of Development,1
Delivery Consultants,1
iOS Mobile Developers,1
Security Engineering Managers,1
Technical Support Specialists,1
Support Specialists,1
IT Security Engineers,1
Hardware Engineers,1
Customer Service Associates,1
Assistant Managers,1
Recruitment Analysts,1
Help Desk Administrators,1
Python Engineers,1
Web Developers/Designers,1
Lamp Developers,1
Digital Architects,1
Apprentices,1
Data and Information Architects,1
Information Security Engineers,1
Data Quality Managers,1
Architects,1
Web and Email Designers,1
Applications Scientists,1
National Service Managers,1
ERP Support Specialists,1
Software Asset Management Analysts,1
Content Managers,1
Selenium Automation Testers,1
Network Team Leads,1
Human Resources Systems Analysts,1
Cyber Consultants,1
CNC Programmers/Operators,1
Teamcenter Developers,1
Quality Assurance Administrators,1
Systems Design Engineers,1
Microsoft Solutions Architects,1
Software Engineers in Test,1
Branch Administrators,1
Quality Assurance Testing Analysts,1
Customer Success Engineers,1
IT Executives,1
C++ Programmers,1
Web Developers/Web Designers,1
Experience Architects,1
Recruitment Consultants,1
Front End Software Developers,1
Customer Service Coordinators,1
Machinist Mates 1st Class,1
Foundation Administrators,1
Offshore Managers,1
Back End Software Developers,1
Configuration Engineers,1
Software Analysts,1
Enterprise Service Desk Specialists,1
Epic Bridges Integration Analysts,1
Systems Development Analysts,1
SQL Server Developers,1
ICT Engineers,1
Aftersales Managers,1
IT Security Architects,1
SQL Data Analysts,1
Lead Solution Architects,1
Quality Control Administrators,1
Customer Support Specialists,1
Production Planners,1
Windows Software Engineers,1
Diagnosticians,1
Transformation Project Managers,1
Software Programmers,1
Systems Support Administrators,1
Telecommunications Engineers,1
Sales Executives,1
Service Administrators,1
Cloud Security Architects,1
Selenium Testers,1
Technical Support Consultants,1
Core Java Developers,1
Cyber Engineers,1
Communications Consultants,1
Software Configuration Engineers,1
IT Solutions Specialists,1
Networking Engineers,1
Office 365 Architects,1
Public Speaking Coaches,1
Communications Managers,1
Data Engineering Managers,1
Graphic Designers,1
Lead Project Managers,1
Information Governance Analysts,1
Python Software Developers,1
Data Analytics Engineers,1
Platform Managers,1
Mongodb Developers,1
Research Scientists,1
Help Desk Technicians,1
Windows Server System Administrators,1
Data Coordinators,1
Software Support Managers,1
Development Managers,1
Linux System Administrators,1
Software Implementation Managers,1
Systems Specialists,1
Sharepoint Administrators,1
Search Engine Optimization Content Specialists,1
Penetration Testers,1
Digital Marketing Executives,1
Computer Programmers,1
Game Developers,1
Lead Python Developers,1
Digital Content Managers,1
Project Engineers,1
Fixed-Term Faculties,1
IT Field Technicians,1
IT Network Engineers,1
JavaScript Architects,1
IT Systems Support Analysts,1
Unix Administrators,1
Automotive Engineers,1
Audiovisual Technicians,1
Website Managers,1
Transformation Managers,1
Content Creators,1
ETL Developers,1
Powertrain Engineers,1
Digital Web Designers,1
Help Desk Engineers,1
IT Infrastructure Leads,1
Sales Administrators,1
IT Business Partners,1
Support Coordinators,1
Electronics Engineers,1
CMM Programmers,1
Search Engine Optimization Specialists,1
Microsoft Dynamics Developers,1
IT Network Technicians,1
Microsoft Dynamics CRM Developers,1
UX Designers,1
Service Desk Administrators,1
Web Developers Apprentice,1
IT Assistants,1
Directors of Information Technology,1
Drupal Developers,1
Systems Analysts,1
Customer Service Advisors,1
IT Network Security Engineers,1
Network Architects,1
Software Implementation Consultants,1
Oracle Developers,1
AWS DevOps Engineers,1
Systems Requirements Engineers,1
Network Security Engineers,1
Implementation Managers,1
Cisco Network Engineers,1
Service Desk Managers,1
Android Developers,1
Software Support Engineers,1
IT Solutions Developers,1
Laravel Developers,1
Lead Web Developers,1
Dynamics NAV Consultants,1
Customer Support Advisors,1
Front End Web UI Developers,1
Implementation Consultants,1
Dynamics CRM Developers,1
.NET Azure Developers,1
Service Advisors,1
Information Security Consultants,1
Administrative Assistants,1
Python Software Engineers,1
E-Learning Developers,1
C++ Engineers,1
Programmers/Developers,1
Foundation Managers,1
E-Commerce Managers,1
Localization Testers,1
Help Desk Coordinators,1
Support Officers,1
Azure Engineers,1
Platform Engineers,1
Back End Web Developers,1
Development Officers,1
Release Managers,1
Systems Architecture Engineers,1
Infrastructure Delivery Managers,1
Support Desk Analysts,1
IT Business Systems Analysts,1
Technical Services Engineers,1
Biztalk Developers,1
Technical Engineers,1
Test Automation Engineers,0
Technical Solutions Architects,0
Development Support Engineers,0
Web Content Managers,0
IT Auditors,0
Recovery Supervisors,0
CAE Analysts,0
Warehouse Supervisors,0
Data Entry Clerks,0
Directors of IT Operations,0
Servicenow Consultants,0
Umbraco Developers,0
WPF Developers,0
NAV Developers,0
React Developers,0
Reliability Engineers,0
Application Support Specialists,0
Trainee Recruitment Consultants,0
Reseller Account Managers,0
Software Development Project Managers,0
Delphi Developers,0
Information Officers,0
Cloud Systems Administrators,0
Service Desk Assistants,0
Full Stack Software Engineers,0
Java Architects,0
Digital Marketing Officers,0
Progress Developers,0
Data Migration Specialists,0
Sales Colleagues,0
Sitecore Developers,0
Embedded Software Architects,0
New Model Engineers,0
CRM Developers,0
Network Infrastructure Managers,0
Technology Developers,0
Project Administrators,0
Product and Project Managers,0
Customer Advisors,0
Network Infrastructure Engineers,0
Contract Software Engineers,0
SAP ABAP Developers,0
Cyber Intelligence Analysts,0
Report Writers,0
Incident Managers,0
Software Solutions Architects,0
Citrix Engineers,0
Wait Staff,0
Cisco Certified Network Associates,0
Android Software Engineers,0
Architectural Engineers,0
Center Support Team Leads,0
Business Architects,0
Operations Delivery Managers,0
Infrastructure Architects,0
Linux Administrators,0
Design Consultants,0
AWS Architects,0
Technical Administrators,0
Cable Technicians,0
Network Specialists,0
Azure Consultants,0
Unity Developers,0
Full Stack .NET Web Developers,0
IT Data Architects,0
Human Resources Managers,0
Network Planners,0
Security Engineers,0
Software Controls Engineers,0
Research Engineering Managers,0
Help Desk Agents,0
AngularJS Developers,0
Fiber Engineers,0
Infrastructure Developers,0
Sales Solution Architects,0
Consulting Software Engineers,0
Mosaics Artists,0
IT Systems Developers,0
Business Systems Support Analysts,0
Systems and Applications Engineers,0
Machine Learning Research Scientists,0
Oracle SQL Developers,0
Software Asset Managers,0
Heads of Infrastructure,0
Security Analysts,0
IT Contractors,0
Lead Architects,0
Geek Squad Supervisors,0
IT Security Specialists,0
Heads of Digital,0
UAT Managers,0
Data Security Managers,0
Homeworkers,0
Cybersecurity Technicians,0
Website Designers/Developers,0
Learning Managers,0
Directors of Cyber Security,0
Customer Support Administrators,0
Product Availability Managers,0
Computer Engineers,0
Infrastructure Support Analysts,0
Programmer Analysts,0
DevOps Developers,0
Magento Developers,0
Systems Accountants,0
Sharepoint Engineers,0
IT Systems Support Specialists,0
Business Change Managers,0
Site Reliability Engineers,0
Data Solutions Architects,0
Infrastructure Support Engineers,0
Cloud Technical Architects,0
Entertainment Staff,0
Lead Testers,0
Heads of Software Development,0
Build Managers,0
IT Coordinators,0
Application Support Technicians,0
Quality Improvement Managers,0
Project Management Analysts,0
Planning Managers,0
Maintenance Team Leaders,0
Gaming Agents,0
Risk Analysts,0
Network Managers,0
Social Media Developers,0
Servicenow Developers,0
Enterprise Developers,0
Sales Operations Managers,0
Developer Apprentices,0
DevOps Specialists,0
Infrastructure Security Analysts,0
IT Help Desk Analysts,0
IT Systems Technicians,0
E-Commerce Executives,0
Healthcare Business Development Managers,0
Chief Digital Officers,0
Voice Actors,0
Azure Architects,0
Farm Hands,0
Engineers/Architects,0
Sales Solutions Consultants,0
Community Support Managers,0
IT Service Engineers,0
Infrastructure Project Managers,0
Software Test Specialists,0
Shift Operations Managers,0
Event Facilitators,0
Aerospace Engineers,0
Perl Developers,0
Developers/Engineers,0
IT Applications Specialists,0
Sales Implementation Specialists,0
Infrastructure Operations Managers,0
Solution Developers,0
Dimensional Engineers,0
IT  Infrastructure Specialists,0
Linux Systems Engineers,0
Lead Embedded Software Engineers,0
Security Software Engineers,0
Consultant System Architects,0
Operations Support Managers,0
Assessment Managers,0
Soc Analysts,0
Manual Testers,0
First Line Managers,0
Support Advisors,0
Customer Support Analysts,0
Network Support Specialists,0
Depot Managers,0
Application Engineers,0
Continuous Improvement Managers,0
Website Content Managers,0
Cloud Operations Engineers,0
Delivery Registered Nurses,0
Web Software Developers,0
Security Solutions Architects,0
Data Modelers,0
Supply Chain Managers,0
Systems Technicians,0
Digital Content Creators,0
Software Implementation Project Managers,0
Application Support Leads,0
Microsoft .NET Developers,0
Machine Operators,0
Digital Content Designers,0
Salesforce Architects,0
IT Service Coordinators,0
Technical Support Administrators,0
Technology Support Analysts,0
Software Engineering Associates,0
Java Technical Architects,0
Knowledge Managers,0
Network Analysts,0
IT Customer Support Specialists,0
Automated Systems Technicians,0
Desktop Support Specialists,0
Ruby on Rails Engineers,0
Wintel Engineers,0
Front End Angular Developers,0
IT Application Developers,0
VBA Developers,0
Consultants,0
IT Network Managers,0
Data Migration Analysts,0
AS/400 Developers,0
Digital Content Editors,0
Business Systems Specialists,0
Data Programmers,0
IT Operations Analysts,0
Cable Pullers,0
Platform Developers,0
Internet Developers,0
IT Support Coordinators,0
Business Systems Managers,0
Automation Test Analysts,0
Game Programmers,0
Power Business Intelligence Developers,0
Change Managers,0
Agile Project Managers,0
DevOps Architects,0
DevOps Managers,0
Enterprise Operations Managers,0
Development Engineers,0
Network and Systems Technicians,0
ERP Project Managers,0
Electrical Systems Engineers,0
Systems Support Analysts,0
Sensor Systems Engineers,0
Tools Developers,0
IT Specialists,0
Portfolio Architects,0
IT Development Managers,0
Lead Analysts,0
Human Resources Data Analysts,0
JavaScript Web Developers,0
Business Managers,0
Network Implementation Engineers,0
Infrastructure Technical Architects,0
Access Developers,0
Data Developers,0
Security Sales Consultants,0
SQL Analysts,0
Lead iOS Developers,0
IT Support Leads,0
Invigilators,0
Drupal Engineers,0
Systems Coordinators,0
Delivery Technicians,0
Area Managers,0
UI Designers,0
Business Intelligence Technical Leads,0
Dialogue Editors,0
Lead CNC Programmers,0
Software Customer Support Representatives,0
Database Engineers,0
Support Engineers,0
Manufacturing Engineers,0
.NET Software Engineers,0
Signal Processing Engineers,0
Business Developers,0
HTML Developers,0
IT Business Analysts,0
Java Software Architects,0
E-Commerce Web Developers,0
Lead Software Testers,0
Wedding Photographers,0
ICT Officers,0
Technical Support Programmers,0
IT Infrastructure Analysts,0
Servicenow Architects,0
Enterprise Solutions Architects,0
Business Support Assistants,0
Web Design Managers,0
IT Infrastructure Project Managers,0
Systems Project Engineers,0
Server Engineers,0
IT Service Delivery Managers,0
Technical Implementation Consultants,0
Surveillance Managers,0
Support Developers,0
.NET SQL Developers,0
NOC Engineers,0
Vehicle Engineers,0
Wordpress Web Developers,0
Full Stack Web Application Developers,0
Team Administrators,0
UX Developers,0
Wordpress Developers,0
Servicenow Administrators,0
IT Solutions Architects,0
IT Service Desk Technicians,0
Oracle Applications Database Administrators,0
Content Producers,0
Infrastructure Leads,0
IT Sales Consultants,0
Lead JavaScript Developers,0
Systems Managers,0
SSRS Report Developers,0
Drupal Web Developers,0
Information Managers,0
Traffic Signal Installers,0
Developer Consultants,0
